nombre,username,contenido,comentarios,reacciones,compartido
Guillermo Lasso,@LassoGuillermo,"·Es un honor contar con @DonosoEcuador para el Ministerio de Trabajo, quien lleva años en el servicio público defendiendo el bienestar de los ecuatorianos. Garantizaremos los derechos laborales y empleos de calidad. 

¡Encontrémonos para lograr trabajos dignos en Ecuador! ",121,1.1K,234
Guillermo Lasso,@LassoGuillermo,"·Como Asambleísta, @TanllyVera ha trabajado por el bienestar de agricultores y ganaderos. Desde hoy continúa su lucha por el sector como Ministra. Se dedicará a la reactivación, la revalorización y el acceso a mercados internacionales. 

¡El compromiso con el cambio es firme! ",142,1.3K,284
Guillermo Lasso,@LassoGuillermo,"·El camino para el crecimiento es atraer inversión que genere oportunidades de bienestar. @pradojj será el Ministro de Producción, Comercio Exterior y Pesca. Confío en que impulsará el desarrollo nacional con innovación y apertura al mundo.#ElEcuadorDelEncuentro ",90,1K,221
Guillermo Lasso,@LassoGuillermo,"·Vamos a poner en orden la economía con sentido social. @simoncueva, como Ministro de Economía y Finanzas, llevará a cabo una gestión solidaria y consciente de la realidad ecuatoriana.

Ecuador volverá a ser un país próspero y de oportunidades para todos. ",117,1.1K,227
Guillermo Lasso,@LassoGuillermo,"·Junto a Fernando Donoso en el Ministerio de Defensa, trazaremos una hoja de ruta que garantice la seguridad en Ecuador. Nuestro país merece PAZ y que todos sus habitantes se sientan seguros. 

¡El Gobierno del encuentro cuenta con profesionales preparados y comprometidos! ",62,1K,206
Guillermo Lasso,@LassoGuillermo,"·.@GustavoManriq_M, como Ministro del Ambiente y Agua, estará a cargo de una transición productiva y sostenible que respete la naturaleza y los derechos de las comunidades. 

De la mano de Gustavo, Ecuador asumirá un liderazgo ambiental e innovador. ¡El cambio de siente! ",43,788,175
Guillermo Lasso,@LassoGuillermo,"·En el Ministerio de Telecomunicaciones y de la Sociedad de la Información, @vmaino se enfocará en: Acceso a internet y cobertura celular Un Gobierno digital con servicios públicos de calidad  Impulsar la digitalización para la telemedicina y la teleducación",66,749,197
Guillermo Lasso,@LassoGuillermo,·Roberto Salas liderará el Ministerio de Energía y Recursos Naturales No Renovables. Trabajaremos en proyectos de reactivación productiva que sean responsables con la ciudadanía. Juntos vamos a luchar contra la corrupción y lograremos la eficiencia de esta cartera de Estado.,124,1.2K,299
Guillermo Lasso,@LassoGuillermo,"·¡Mauricio Montalvo es el próximo Canciller!

Pone al servicio del país una extensa carrera diplomática que ha demostrado capacidad para liderar una agenda de política exterior, garantizar derechos y brindar servicios de calidad. Bienvenido al Ecuador del Encuentro Mauricio. ",156,2K,461
Guillermo Lasso,@LassoGuillermo,"·A las 10h30 anunciaremos miembros del Gabinete ministerial. A días del 24 de Mayo, estamos listos para empezar a trabajar por el Ecuador.

Los invito a acompañarnos en esta transmisión EN VIVO. 

YT: FB: ¡Los espero! ",144,1.3K,345
